"FASCINATION, 25/3 - MANORAMAGANJ - INDORE - 452001",,,,,,,,,,,,,,,,,,,,,,,
TOTAL QTY,27,,,,,,,,,,,,,,,,,,,,,,
Bill Date,Trans Type,Bill Prefix,Bill No,Customer Name,BarcodeNo,ArticleNo,Section,Group,Brand,Item Name,HSN Code,Color,Pattern,Category,Fit,Season,Size,MRP,DPRate,Sale Rate,Qty,Tax(%),Tax(Rs)
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310176105,MFT-32349-P,READYMADE,MENS,MUFTI,JEANS,62034200,59-BLUE MID,ANKLE LENGTH (AL) (J),CASUAL,FASHION JEANS,AW-22,34,3499.00,2190.37,2190.37,1,12.00,262.84
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310230449,MFT-32236-P,READYMADE,MENS,MUFTI,JEANS,62034200,61-BLUE DARK,ANKLE LENGTH (AL) (J),CASUAL,FASHION JEANS,HW-22,34,3399.00,2127.77,2127.77,1,12.00,255.32
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310227074,MFT-28432-P,READYMADE,MENS,MUFTI,JEANS,62034200,61-BLUE DARK,ANKLE LENGTH (DD) (J),CASUAL,DENIM DELUXE,AW-22,34,4199.00,2628.57,2628.57,1,12.00,315.44
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310234997,MFT-28434-P,READYMADE,MENS,MUFTI,JEANS,62034200,134-BLUE BLACK,ANKLE LENGTH (DD) (J),CASUAL,DENIM DELUXE,HW-22,32,4299.00,2691.17,2691.17,1,12.00,322.94
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310228750,MFT-32351-P,READYMADE,MENS,MUFTI,JEANS,62034200,61-BLUE DARK,ANKLE LENGTH (AL) (J),CASUAL,FASHION JEANS,AW-22,34,3499.00,2190.37,2190.37,1,12.00,262.84
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310226749,MFT-28435-P,READYMADE,MENS,MUFTI,JEANS,62034200,76-BLACK STONE,ANKLE LENGTH (DD) (J),CASUAL,DENIM DELUXE,AW-22,32,4299.00,2691.17,2691.17,1,12.00,322.94
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310226824,MFT-28436-P,READYMADE,MENS,MUFTI,JEANS,62034200,140-GREY STONE,ANKLE LENGTH (DD) (J),CASUAL,DENIM DELUXE,AW-22,32,4299.00,2691.17,2691.17,1,12.00,322.94
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310230432,MFT-32236-P,READYMADE,MENS,MUFTI,JEANS,62034200,61-BLUE DARK,ANKLE LENGTH (AL) (J),CASUAL,FASHION JEANS,HW-22,32,3399.00,2127.77,2127.77,1,12.00,255.32
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310235000,MFT-28434-P,READYMADE,MENS,MUFTI,JEANS,62034200,134-BLUE BLACK,ANKLE LENGTH (DD) (J),CASUAL,DENIM DELUXE,HW-22,34,4299.00,2691.17,2691.17,1,12.00,322.94
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310227067,MFT-28432-P,READYMADE,MENS,MUFTI,JEANS,62034200,61-BLUE DARK,ANKLE LENGTH (DD) (J),CASUAL,DENIM DELUXE,AW-22,32,4199.00,2628.57,2628.57,1,12.00,315.44
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310228743,MFT-32351-P,READYMADE,MENS,MUFTI,JEANS,62034200,61-BLUE DARK,ANKLE LENGTH (AL) (J),CASUAL,FASHION JEANS,AW-22,32,3499.00,2190.37,2190.37,1,12.00,262.84
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310226756,MFT-28435-P,READYMADE,MENS,MUFTI,JEANS,62034200,76-BLACK STONE,ANKLE LENGTH (DD) (J),CASUAL,DENIM DELUXE,AW-22,34,4299.00,2691.17,2691.17,1,12.00,322.94
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310239848,MFT-28433-P,READYMADE,MENS,MUFTI,JEANS,62034200,61-BLUE DARK,ANKLE LENGTH (DD) (J),CASUAL,DENIM DELUXE,HW-22,32,4299.00,2691.17,2691.17,1,12.00,322.94
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310230517,MFT-32232-P,READYMADE,MENS,MUFTI,JEANS,62034200,61-BLUE DARK,SUPER SLIM (FJ) (J),CASUAL,FASHION JEANS,HW-22,32,3399.00,2127.77,2127.77,1,12.00,255.32
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310233372,MFT-32237-P,READYMADE,MENS,MUFTI,JEANS,62034200,76-BLACK STONE,ANKLE LENGTH (AL) (J),CASUAL,FASHION JEANS,HW-22,34,3499.00,2190.37,2190.37,1,12.00,262.84
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310226831,MFT-28436-P,READYMADE,MENS,MUFTI,JEANS,62034200,140-GREY STONE,ANKLE LENGTH (DD) (J),CASUAL,DENIM DELUXE,AW-22,34,4299.00,2691.17,2691.17,1,12.00,322.94
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310233365,MFT-32237-P,READYMADE,MENS,MUFTI,JEANS,62034200,76-BLACK STONE,ANKLE LENGTH (AL) (J),CASUAL,FASHION JEANS,HW-22,32,3499.00,2190.37,2190.37,1,12.00,262.84
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310195052,MFK-9124-P,READYMADE,MENS,MUFTI,SWEAT SHIRT,62034200,02-WHITE,PLAINS (SS) F/S,CASUAL,SWEAT SHIRT F/S,AW-22,  3XL,3599.00,2252.97,2252.97,1,12.00,270.36
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310195038,MFK-9124-P,READYMADE,MENS,MUFTI,SWEAT SHIRT,62034200,02-WHITE,PLAINS (SS) F/S,CASUAL,SWEAT SHIRT F/S,AW-22,   XL,3399.00,2127.77,2127.77,1,12.00,255.32
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310195021,MFK-9124-P,READYMADE,MENS,MUFTI,SWEAT SHIRT,62034200,02-WHITE,PLAINS (SS) F/S,CASUAL,SWEAT SHIRT F/S,AW-22,   L,3399.00,2127.77,2127.77,1,12.00,255.32
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310195014,MFK-9124-P,READYMADE,MENS,MUFTI,SWEAT SHIRT,62034200,02-WHITE,PLAINS (SS) F/S,CASUAL,SWEAT SHIRT F/S,AW-22,    M,3399.00,2127.77,2127.77,1,12.00,255.32
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310195045,MFK-9124-P,READYMADE,MENS,MUFTI,SWEAT SHIRT,62034200,02-WHITE,PLAINS (SS) F/S,CASUAL,SWEAT SHIRT F/S,AW-22,   XXL,3399.00,2127.77,2127.77,1,12.00,255.32
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310162023,MFJ-1064-P,READYMADE,MENS,MUFTI,JACKET,62034200,17-OLIVE,PLAINS (J) (F/S),CASUAL,JACKET F/S,AW-22,   XXL,5899.00,3692.77,3692.77,1,12.00,443.12
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310161996,MFJ-1064-P,READYMADE,MENS,MUFTI,JACKET,62034200,17-OLIVE,PLAINS (J) (F/S),CASUAL,JACKET F/S,AW-22,    M,5899.00,3692.77,3692.77,1,12.00,443.12
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310162030,MFJ-1064-P,READYMADE,MENS,MUFTI,JACKET,62034200,17-OLIVE,PLAINS (J) (F/S),CASUAL,JACKET F/S,AW-22,  3XL,6099.00,3817.97,3817.97,1,12.00,458.16
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310162009,MFJ-1064-P,READYMADE,MENS,MUFTI,JACKET,62034200,17-OLIVE,PLAINS (J) (F/S),CASUAL,JACKET F/S,AW-22,   L,5899.00,3692.77,3692.77,1,12.00,443.12
07/11/2022 6:59:18 PM,SALE,,3001,RENOWN CLOTHING,8905310162016,MFJ-1064-P,READYMADE,MENS,MUFTI,JACKET,62034200,17-OLIVE,PLAINS (J) (F/S),CASUAL,JACKET F/S,AW-22,   XL,5899.00,3692.77,3692.77,1,12.00,443.12
